48,David_0_1995,David,Test-user,,06/07/1995,0-david@emailaddress.com,,0 The Road,,Bury St. Edmunds,,Suffolk,IP3 1AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,afd81ef3-2402-475a-b735-51cfacbdc2ea,NULL
49,Hetty_1_1985,Hetty,Test-user,,02/05/1985,1-hetty@emailaddress.com,,1 The Road,,Ipswich,,Suffolk,IP6 6AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,b50181d6-fc3c-4434-b4c3-3e8bf7fc7fa7,NULL
50,Vincent_2_1964,Vincent,Test-user,,02/06/1964,2-vincent@emailaddress.com,,2 The Road,,Bury St. Edmunds,,Suffolk,IP8 5AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,cfbeae68-6946-4058-a4ff-c08ceabf810e,NULL
51,Nicola_3_1977,Nicola,Test-user,,08/09/1977,3-nicola@emailaddress.com,,3 The Road,,Bury St. Edmunds,,Suffolk,IP0 1AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,3331b4bb-02e8-4ef1-97e4-e29afaf4354f,NULL
52,Elizabeth_4_1993,Elizabeth,Test-user,,08/02/1993,4-elizabeth@emailaddress.com,,4 The Road,,Stowmarket,,Suffolk,IP5 3AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,ee15b43e-85db-44ff-8d6e-26636a2b24d5,NULL
53,Barry_5_1963,Barry,Test-user,,07/05/1963,5-barry@emailaddress.com,,5 The Road,,Ipswich,,Suffolk,IP3 9AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,33c2b0ec-c920-456e-9865-cb614eb0c360,NULL
54,Sally_6_1976,Sally,Test-user,,03/07/1976,6-sally@emailaddress.com,,6 The Road,,Stowmarket,,Suffolk,IP8 4AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,c87168da-db28-45b5-82d4-2c7f09aeb5f7,NULL
55,Anne_7_1998,Anne,Test-user,,09/07/1998,7-anne@emailaddress.com,,7 The Road,,Ipswich,,Suffolk,IP3 1AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,fd25f346-9f38-4216-87c9-27962469b23f,NULL
56,Chris_8_1987,Chris,Test-user,,03/03/1987,8-chris@emailaddress.com,,8 The Road,,Holbrook,,Suffolk,IP1 7AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,0ab714c8-c373-4233-a9f7-771bb439720c,NULL
57,Anne_9_1986,Anne,Test-user,,09/06/1986,9-anne@emailaddress.com,,9 The Road,,Stowmarket,,Suffolk,IP1 3AA,Swimmer,1bd83a30-a3f9-46cf-8866-cd63c205597b,1,d9fe67d1-1955-4b34-9260-fb8b67c86734,NULL
